*錒 *锕
*裏 *里

*鋰 *锂

*禮 *礼

*鯉 *鲤

*邐 *逦

*鱧 *鳢

*茘 *荔

*涖 *莅

*琍 *璃

*厤 *历

*慄 *栗

*蒞 *莅

*厲 *厉

*暦 *历

*歴 *历

*勵 *励

*曆 *历

*歷 *历

*隷 *隶

*癘 *疠

*隸 *隶

*鬁 *疬

*嚦 *呖

*壢 *坜

*櫟 *栎

*瀝 *沥

*瓅 *

*礪 *砺

*藶 *苈

*麗 *丽

*櫪 *枥

*礫 *砾

*糲 *粝

*蠣 *蛎

*儷 *俪

*癧 *疬

*酈 *郦

*躒 *跞

*轢 *轹

*靂 *雳

*瓈 *璃

*倆 *俩

*連 *连

*亷 *廉

*漣 *涟

*蓮 *莲

